time,response_code,birth_year,postal_code,lat,long,city,ine_code
"2017-09-26 13:29:13,074",NO_3_DATA,,,,,,
"2017-09-26 13:29:22,895",OK,,,,,,
"2017-09-26 13:29:23,376",NOT_FOUND,,,,,,
"2017-09-26 13:29:36,557",OK,,,,,,
"2017-09-26 13:29:43,602",OK,,,,,,
"2017-09-26 13:29:50,488",NOT_FOUND,,,,,,
"2017-09-26 13:29:54,476",NOT_FOUND,,,,,,
"2017-09-26 13:29:56,776",NOT_FOUND,,,,,,
"2017-09-26 13:29:58,123",NO_3_DATA,,,,,,
"2017-09-26 13:30:17,011",NO_3_DATA,,,,,,
"2017-09-26 13:30:27,172",NOT_FOUND,,,,,,
"2017-09-26 13:30:28,130",OK,,,,,,
"2017-09-26 13:30:28,159",NO_3_DATA,,,,,,
"2017-09-26 13:30:49,830",NO_3_DATA,,,,,,
"2017-09-26 13:31:12,604",NO_3_DATA,,,,,,
"2017-09-26 13:31:28,544",NO_3_DATA,,,,,,
"2017-09-26 13:31:31,888",OK,,,,,,
"2017-09-26 13:31:38,769",NO_3_DATA,,,,,,
"2017-09-26 13:31:48,710",NO_3_DATA,,,,,,
"2017-09-26 13:31:49,600",NO_3_DATA,,,,,,
"2017-09-26 13:32:07,041",NO_3_DATA,,,,,,
"2017-09-26 13:32:08,996",NO_3_DATA,,,,,,
"2017-09-26 13:32:10,475",NO_3_DATA,,,,,,
"2017-09-26 13:32:15,086",NOT_FOUND,,,,,,
"2017-09-26 13:32:15,136",NO_3_DATA,,,,,,
"2017-09-26 13:32:18,401",NO_3_DATA,,,,,,
"2017-09-26 13:32:36,998",NO_3_DATA,,,,,,
"2017-09-26 13:32:37,578",NO_3_DATA,,,,,,
"2017-09-26 13:32:44,318",NO_3_DATA,,,,,,
"2017-09-26 13:32:52,305",BAD_NIF,,,,,,
"2017-09-26 13:32:57,587",NO_3_DATA,,,,,,
"2017-09-26 13:32:59,826",OK,,,,,,
"2017-09-26 13:33:03,357",NOT_FOUND,,,,,,
"2017-09-26 13:33:06,338",OK,,,,,,
"2017-09-26 13:33:11,418",NO_3_DATA,,,,,,
"2017-09-26 13:33:22,360",NOT_FOUND,,,,,,
"2017-09-26 13:33:29,176",NO_3_DATA,,,,,,
"2017-09-26 13:33:29,588",OK,,,,,,
"2017-09-26 13:33:33,467",NO_3_DATA,,,,,,
"2017-09-26 13:33:37,858",NO_3_DATA,,,,,,
"2017-09-26 13:33:46,212",NO_3_DATA,,,,,,
"2017-09-26 13:33:47,522",NO_3_DATA,,,,,,
"2017-09-26 13:33:53,056",NOT_FOUND,,,,,,
"2017-09-26 13:34:08,047",NO_3_DATA,,,,,,
"2017-09-26 13:34:16,618",NOT_FOUND,,,,,,
"2017-09-26 13:34:24,238",OK,,,,,,
"2017-09-26 13:34:32,438",OK,,,,,,
"2017-09-26 13:34:37,850",OK,,,,,,
"2017-09-26 13:34:40,267",OK,,,,,,
"2017-09-26 13:34:41,910",OK,,,,,,
"2017-09-26 13:34:47,547",OK,,,,,,
"2017-09-26 13:34:55,303",OK,,,,,,
"2017-09-26 13:34:56,067",NO_3_DATA,,,,,,
"2017-09-26 13:34:59,417",OK,,,,,,
"2017-09-26 13:35:02,717",NO_3_DATA,,,,,,
"2017-09-26 13:35:10,808",NO_3_DATA,,,,,,
"2017-09-26 13:36:04,415",OK,,,,,,
"2017-09-26 13:37:07,211",NO_3_DATA,,,,,,
"2017-09-26 13:37:10,746",NO_3_DATA,,,,,,
"2017-09-26 13:37:45,462",BAD_DATE,,,,,,
"2017-09-26 13:37:59,085",NO_3_DATA,,,,,,
"2017-09-26 13:38:01,408",OK,,,,,,
"2017-09-26 13:38:11,704",OK,,,,,,
"2017-09-26 13:38:12,909",NO_3_DATA,,,,,,
"2017-09-26 13:38:26,157",NO_3_DATA,,,,,,
"2017-09-26 13:38:40,344",NO_3_DATA,,,,,,
"2017-09-26 13:38:53,984",NO_3_DATA,,,,,,
"2017-09-26 13:39:07,791",OK,,,,,,
"2017-09-26 13:39:13,432",NO_3_DATA,,,,,,
"2017-09-26 13:39:27,757",OK,,,,,,
"2017-09-26 13:39:31,897",NO_3_DATA,,,,,,
"2017-09-26 13:39:55,854",NO_3_DATA,,,,,,
"2017-09-26 13:40:04,544",OK,,,,,,
"2017-09-26 13:40:21,269",OK,,,,,,
"2017-09-26 13:40:24,980",OK,,,,,,
"2017-09-26 13:40:40,945",NO_3_DATA,,,,,,
"2017-09-26 13:41:07,703",NO_3_DATA,,,,,,
"2017-09-26 13:41:12,525",NO_3_DATA,,,,,,
"2017-09-26 13:41:14,992",NO_3_DATA,,,,,,
"2017-09-26 13:41:15,480",BAD_NIF,,,,,,
"2017-09-26 13:41:43,828",OK,,,,,,
"2017-09-26 13:41:44,403",OK,,,,,,
"2017-09-26 13:41:44,888",OK,,,,,,
"2017-09-26 13:41:47,946",OK,,,,,,
"2017-09-26 13:42:08,073",NO_3_DATA,,,,,,
"2017-09-26 13:42:08,397",OK,,,,,,
"2017-09-26 13:42:12,224",NO_3_DATA,,,,,,
"2017-09-26 13:42:16,803",NO_3_DATA,,,,,,
"2017-09-26 13:42:25,751",NO_3_DATA,,,,,,
"2017-09-26 13:42:31,139",NO_3_DATA,,,,,,
"2017-09-26 13:42:45,475",OK,,,,,,
"2017-09-26 13:42:58,782",NO_3_DATA,,,,,,
"2017-09-26 13:43:01,512",NO_3_DATA,,,,,,
"2017-09-26 13:43:10,716",NO_3_DATA,,,,,,
"2017-09-26 13:43:11,235",NO_3_DATA,,,,,,
"2017-09-26 13:43:19,949",OK,,,,,,
"2017-09-26 13:43:20,195",NO_3_DATA,,,,,,
"2017-09-26 13:43:30,197",NO_3_DATA,,,,,,
"2017-09-26 13:43:31,064",NO_3_DATA,,,,,,
"2017-09-26 13:43:32,853",NO_3_DATA,,,,,,
"2017-09-26 13:43:35,482",OK,,,,,,
"2017-09-26 13:43:37,038",BAD_NIF,,,,,,
"2017-09-26 13:43:40,593",NO_3_DATA,,,,,,
"2017-09-26 13:54:17,731",NO_3_DATA,,,,,,
"2017-09-26 13:54:17,767",NO_3_DATA,,,,,,
"2017-09-26 13:54:17,795",NO_3_DATA,,,,,,
"2017-09-26 13:54:17,919",OK,,,,,,
"2017-09-26 13:54:17,951",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,338",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,443",OK,,,,,,
"2017-09-26 13:54:34,472",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,584",OK,,,,,,
"2017-09-26 13:54:34,615",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,646",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,672",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,702",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,725",BAD_DATE,,,,,,
"2017-09-26 13:54:34,751",NO_3_DATA,,,,,,
"2017-09-26 13:54:34,901",NO_3_DATA,,,,,,
"2017-09-26 13:54:35,004",OK,,,,,,
