time,city,ine_code
"2017-09-26T14:38:16+02:00",Sant Llorenç Savall,08223
"2017-09-26T14:38:18+02:00",Lleida,25120
"2017-09-26T14:38:20+02:00",Cànoves i Samalús,08042
"2017-09-26T14:38:39+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:38:42+02:00",Mataró,08121
"2017-09-26T14:39:09+02:00",Torre-serona,25233
"2017-09-26T14:39:37+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:39:38+02:00",Rubí,08184
"2017-09-26T14:39:51+02:00",Valls,43161
"2017-09-26T14:39:59+02:00",Barcelona,08019
"2017-09-26T14:40:12+02:00",Cerdanyola del Vallès,08266
"2017-09-26T14:41:04+02:00",Sabadell,08187
"2017-09-26T14:41:19+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T14:41:37+02:00",Castellnou de Bages,08062
"2017-09-26T14:42:06+02:00",Hospitalet de Llobregat, L',08101
"2017-09-26T14:42:28+02:00",Tarragona,43148
"2017-09-26T14:42:45+02:00",Vilobí del Penedès,08304
"2017-09-26T14:42:56+02:00",Franqueses del Vallès, Les,08086
"2017-09-26T14:42:58+02:00",Igualada,08102
"2017-09-26T14:43:00+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:43:06+02:00",Barcelona,08019
"2017-09-26T14:43:10+02:00",Granollers,08096
"2017-09-26T14:43:14+02:00",Sant Antoni de Vilamajor,08198
"2017-09-26T14:43:15+02:00",Barcelona,08019
"2017-09-26T14:43:30+02:00",Bagà,08016
"2017-09-26T14:43:30+02:00",Vallirana,08295
"2017-09-26T14:43:32+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:43:55+02:00",Balaguer,25040
"2017-09-26T14:44:13+02:00",Reus,43123
"2017-09-26T14:44:14+02:00",Terrassa,08279
"2017-09-26T14:44:20+02:00",Caldes de Montbui,08033
"2017-09-26T14:44:39+02:00",Granollers,08096
"2017-09-26T14:45:04+02:00",Reus,43123
"2017-09-26T14:45:28+02:00",Llinars del Vallès,08106
"2017-09-26T14:45:34+02:00",Cornellà de Llobregat,08073
"2017-09-26T14:45:39+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:45:48+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T14:45:53+02:00",Torrelles de Foix,08288
"2017-09-26T14:45:54+02:00",Barcelona,08019
"2017-09-26T14:46:33+02:00",Sant Pol de Mar,08235
"2017-09-26T14:47:01+02:00",Vilanova i la Geltrú,08307
"2017-09-26T14:47:06+02:00",Vilanova i la Geltrú,08307
"2017-09-26T14:47:10+02:00",Figueres,17066
"2017-09-26T14:47:12+02:00",Sant Celoni,08202
"2017-09-26T14:47:19+02:00",Alpicat,25023
"2017-09-26T14:47:34+02:00",Arbúcies,17009
"2017-09-26T14:47:54+02:00",Calonge,17034
"2017-09-26T14:47:57+02:00",Rubí,08184
"2017-09-26T14:48:05+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:48:35+02:00",Calella,08035
"2017-09-26T14:48:53+02:00",Santa Coloma de Gramenet,08245
"2017-09-26T14:48:54+02:00",Mataró,08121
"2017-09-26T14:48:58+02:00",Terrassa,08279
"2017-09-26T14:49:01+02:00",Sant Celoni,08202
"2017-09-26T14:49:09+02:00",Olot,17114
"2017-09-26T14:49:21+02:00",Calella,08035
"2017-09-26T14:49:23+02:00",Badalona,08015
"2017-09-26T14:49:24+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T14:49:26+02:00",Calella,08035
"2017-09-26T14:49:30+02:00",Seu d'Urgell, La,25203
"2017-09-26T14:49:33+02:00",Sabadell,08187
"2017-09-26T14:49:38+02:00",Barcelona,08019
"2017-09-26T14:49:41+02:00",Barcelona,08019
"2017-09-26T14:49:50+02:00",Barcelona,08019
"2017-09-26T14:49:51+02:00",Caldes de Montbui,08033
"2017-09-26T14:49:51+02:00",Terrassa,08279
"2017-09-26T14:49:52+02:00",Valls,43161
"2017-09-26T14:50:00+02:00",Celrà,17049
"2017-09-26T14:50:00+02:00",Vilassar de Mar,08219
"2017-09-26T14:50:04+02:00",Palamós,17118
"2017-09-26T14:50:05+02:00",Bellvís,25052
"2017-09-26T14:50:13+02:00",Terrassa,08279
"2017-09-26T14:50:19+02:00",Vall de Boí, La,25043
"2017-09-26T14:50:34+02:00",Vilanova i la Geltrú,08307
"2017-09-26T14:50:47+02:00",Vallirana,08295
"2017-09-26T14:50:49+02:00",Castelldefels,08056
"2017-09-26T14:50:50+02:00",Tarragona,43148
"2017-09-26T14:50:55+02:00",Corbera de Llobregat,08072
"2017-09-26T14:51:01+02:00",Mataró,08121
"2017-09-26T14:51:09+02:00",Valls,43161
"2017-09-26T14:51:12+02:00",Mataró,08121
"2017-09-26T14:51:14+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T14:51:15+02:00",Barcelona,08019
"2017-09-26T14:51:20+02:00",Bellcaire d'Urgell,25047
"2017-09-26T14:51:26+02:00",Sant Feliu de Llobregat,08211
"2017-09-26T14:51:37+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:51:53+02:00",Barcelona,08019
"2017-09-26T14:51:54+02:00",Barcelona,08019
"2017-09-26T14:51:57+02:00",Barcelona,08019
"2017-09-26T14:52:01+02:00",Cornellà de Llobregat,08073
"2017-09-26T14:52:03+02:00",Gavà,08089
"2017-09-26T14:52:05+02:00",Barcelona,08019
"2017-09-26T14:52:08+02:00",Igualada,08102
"2017-09-26T14:52:28+02:00",Barcelona,08019
"2017-09-26T14:52:34+02:00",Capellades,08044
"2017-09-26T14:52:53+02:00",Avinyó,08012
"2017-09-26T14:53:00+02:00",Barcelona,08019
"2017-09-26T14:53:03+02:00",Manresa,08113
"2017-09-26T14:53:09+02:00",Terrassa,08279
"2017-09-26T14:53:10+02:00",Lleida,25120
"2017-09-26T14:53:36+02:00",Premià de Mar,08172
"2017-09-26T14:53:45+02:00",Cabanyes, Les,08027
"2017-09-26T14:53:49+02:00",Barcelona,08019
"2017-09-26T14:53:55+02:00",Mollerussa,25137
"2017-09-26T14:53:58+02:00",Barcelona,08019
"2017-09-26T14:54:07+02:00",Girona,17079
"2017-09-26T14:54:15+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:54:23+02:00",Barcelona,08019
"2017-09-26T14:54:25+02:00",Montmell, El,43090
"2017-09-26T14:54:29+02:00",Granollers,08096
"2017-09-26T14:54:44+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:54:47+02:00",Palamós,17118
"2017-09-26T14:54:53+02:00",Barcelona,08019
"2017-09-26T14:55:08+02:00",Caldes de Montbui,08033
"2017-09-26T14:55:08+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:55:16+02:00",Valls,43161
"2017-09-26T14:55:17+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:55:29+02:00",Castellbisbal,08054
"2017-09-26T14:55:29+02:00",Castellbisbal,08054
"2017-09-26T14:55:29+02:00",Castellbisbal,08054
"2017-09-26T14:55:41+02:00",Barcelona,08019
"2017-09-26T14:55:45+02:00",Bisbal d'Empordà, La,17022
"2017-09-26T14:55:52+02:00",Esterri d'Àneu,25086
"2017-09-26T14:56:07+02:00",Santa Coloma de Gramenet,08245
"2017-09-26T14:56:15+02:00",Franqueses del Vallès, Les,08086
"2017-09-26T14:56:15+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:56:16+02:00",Sant Esteve Sesrovires,08208
"2017-09-26T14:56:19+02:00",Palamós,17118
"2017-09-26T14:56:29+02:00",Granollers,08096
"2017-09-26T14:56:31+02:00",Barcelona,08019
"2017-09-26T14:56:33+02:00",Sabadell,08187
"2017-09-26T14:56:40+02:00",Barcelona,08019
"2017-09-26T14:56:53+02:00",Cànoves i Samalús,08042
"2017-09-26T14:57:00+02:00",Lleida,25120
"2017-09-26T14:57:03+02:00",Sant Feliu de Guíxols,17160
"2017-09-26T14:57:08+02:00",Barcelona,08019
"2017-09-26T14:57:10+02:00",Caldes de Montbui,08033
"2017-09-26T14:57:17+02:00",Barcelona,08019
"2017-09-26T14:57:20+02:00",Barcelona,08019
"2017-09-26T14:57:28+02:00",Lleida,25120
"2017-09-26T14:57:35+02:00",Figueres,17066
